LIMO SERVIS USLUGE,,,,,
Vozilo,Aerodromski transfer,Najam po satu,"Poludnevni najam
5 h / 100 km","Celodnevni najam
10 h / 200 km",Prevoz po km
Škoda Superb ,40,50,140,220,1
Mercedes E klasa,45,55,160,240,1.1
Mercedes V klasa 6+1 Extra Long,60,70,180,280,1.3
Mercedes V klasa 7+1 Extra Long,60,70,180,280,1.3
Mercedes Vito Tourer 8+1,50,60,170,260,1.2
Mercedes S klasa ,90,100,320,550,2
Mercedes Sprinter,100,110,200,320,2.6
,,,,,
PUTEVI IZ BEOGRADA,,,,,
Destinacija iz Beograda,"Škoda Superb
do 3 putnika","Mercedes E klasa
do 3 putnika","Mercedes V klasa
do 7 putnika","Mercedes S klasa
VIP / protokol","Mercedes Sprinter
do 19 putnika"
Novi Sad,100,110,130,240,250
Niš,230,250,290,550,590
Subotica,190,210,260,420,490
Kragujevac,140,160,190,280,360
Šabac,90,100,120,190,230
Aranđelovac,90,120,135,190,240
Čačak,150,170,200,290,390
Sremska Mitrovica,85,95,120,160,210
Zrenjanin,90,100,120,180,240
Vršac,90,100,130,200,250
Požarevac,90,100,130,200,250
Loznica,145,165,210,270,350
Sombor,195,205,255,390,530
Bor,230,260,300,490,630
Valjevo,95,110,135,210,260
Lazarevac,80,90,110,160,200
Kopaonik,240,260,300,550,690
Zlatibor,210,220,270,425,540
Kosmaj,70,95,120,160,190
Tara,220,240,280,425,540
Fruška Gora,90,100,120,200,250
Vrnjačka Banja,220,235,290,440,570
Sokobanja,210,230,280,420,540
Jahorina,290,310,390,590,780
Sarajevo,295,320,390,590,760
Podgorica,450,490,590,900,1150
Zagreb,380,420,490,750,990
Budimpešta,370,410,490,750,960
Temišvar,160,185,220,320,410
Sofija,390,430,490,750,990
Skoplje,430,470,560,850,1150
